timeStep,repNb,resource1amountMean,resource1amountICinf,resource1amountICsup,resource2amountMean,resource2amountICinf,resource2amountICsup,prey1PopulationSizeMean,prey1PopulationSizeICinf,prey1PopulationSizeICsup,prey2PopulationSizeMean,prey2PopulationSizeICinf,prey2PopulationSizeICsup,prey1catchesMean,prey1catchesICinf,prey1catchesICsup,prey2catchesMean,prey2catchesICinf,prey2catchesICsup,predator1PopulationSizeMean,predator1PopulationSizeICinf,predator1PopulationSizeICsup,prey1growthRateMean,prey1growthRateICinf,prey1growthRateICsup,prey2growthRateMean,prey2growthRateICinf,prey2growthRateICsup,predatorGrowthRateMean,predatorGrowthRateICinf,predatorGrowthRateICsup,prey1catchRate,prey2catchrate
600,30,13664.2,12337.43333,15030.43333,15617.3,13523.23333,17434.73333,1288.2,1252.233333,1319.566667,2055.8,2007,2105.933333,14.06666667,12.3,15.93333333,23,20.33333333,26.03333333,126.9333333,109.9,145.4333333,12.76106249,10.07724947,15.35695041,11.25400437,8.436052247,14.00743651,20.32207113,14.95426068,25.15255952,0.010919629,0.011187859
610,30,10329.96667,9432.533333,11279.53333,10932.7,9881,11931.26667,1351.366667,1315.733333,1381.266667,2131.633333,2086.766667,2169.666667,17.36666667,15.13333333,19.66666667,28.9,25.2,33.1,161.8333333,140.2666667,183.9333333,5.193037394,2.762653225,7.667783033,4.031231651,1.352009954,6.769514581,28.0065586,24.30144569,31.86368933,0.012851188,0.013557679
620,30,9287.233333,8391.366667,10335.13333,10216.36667,9117.8,11639.36667,1340.633333,1289.666667,1382.933333,2094.2,2027.9,2153.466667,20.83333333,17.9,23.6,35.23333333,31.46666667,39.1,207.0333333,185.1666667,227.3,-0.893970265,-2.952443531,0.982636183,-1.837147415,-4.040359769,0.148461005,31.39154171,26.50759079,36.08281872,0.015539919,0.016824245
630,30,10497.33333,9034.266667,12127.46667,12175.76667,10242.3,14300.3,1258.933333,1192.333333,1315.6,1984.166667,1905.066667,2061.866667,25.96666667,23.03333333,28.76666667,40.43333333,36.3,44.46666667,259.6666667,236.8,281.8,-6.399105118,-8.436087228,-4.348867781,-5.511514144,-7.200547372,-3.906812936,28.23457471,24.09036611,32.0407358,0.020625927,0.020377992
640,30,13382.06667,11461.03333,15557.23333,16279.73333,13927.03333,19241.76667,1139.066667,1070.033333,1200.5,1808.866667,1715.166667,1899.033333,30.9,28.7,33,48.66666667,45.06666667,52.3,304.7333333,286.9666667,322.2,-9.865592393,-11.55838471,-8.263648779,-9.016543429,-10.34127979,-7.65396744,20.77929467,14.16796625,26.35682235,0.027127473,0.026904507
650,30,17648.06667,15250.63333,20073.26667,22272.66667,18858.16667,25242.93333,1005.8,938.8,1071.7,1606.533333,1515.9,1702.1,31.06666667,28.33333333,33.8,50,47.43333333,52.33333333,326.4333333,308.9,341.3666667,-11.85800134,-13.70092823,-9.991330445,-11.26371232,-12.77992172,-9.82417487,8.688384642,2.702272213,14.18470563,0.030887519,0.031122915
660,30,22677.6,20301.7,25053.53333,29557.76667,26160.33333,32640.33333,865.8333333,805.2666667,925.3666667,1409.233333,1339.7,1486.166667,29.83333333,27.33333333,32.53333333,50.1,46.1,53.9,316.2333333,292.9333333,334.8666667,-13.59193948,-15.75093093,-11.25597277,-11.94597863,-13.76808224,-10.01909179,-2.903696282,-8.476701794,3.139259473,0.034456208,0.035551245
670,30,27550.46667,25375.83333,29579.46667,36281.73333,33517.66667,38732.8,760,718.3333333,803.3,1259.133333,1207.1,1315.066667,25.93333333,23.06666667,29.13333333,43.2,38.9,47.53333333,269.9,241.6,296.6,-11.28091809,-13.87128503,-8.31149253,-10.04560182,-12.48309386,-7.121063357,-15.54685836,-20.43521783,-10.41798916,0.034122807,0.034309313
680,30,30811.1,29427.1,32117.16667,40755.93333,38711.83333,42700.13333,712.7,682.4333333,743.2333333,1197.866667,1148.7,1247.666667,20.63333333,18.13333333,23.06666667,35.4,31.43333333,39.23333333,207.5,180.1,235.9333333,-5.103950254,-9.228813205,-1.040334204,-4.356755905,-7.794071866,-0.762357513,-24.20946556,-27.44807474,-20.80957312,0.028950938,0.029552538
690,30,31529.63333,30233.53333,32778.03333,41651.7,39438.56667,43827.73333,743.0666667,702.7333333,782.1333333,1247.266667,1178,1326.733333,16.06666667,14.13333333,18.03333333,26.1,23.23333333,29.23333333,153.4,136.1666667,173,4.327333293,0.334038999,7.81513837,4.072952658,0.284723089,7.386161492,-24.80481993,-28.9678069,-20.33410485,0.021622107,0.020925758
